trials,ID,session,outcome,response,confidence
111,20,1,55,70.0,1.40098007957295
112,20,1,56,55.0,0.100705973810364
113,20,1,54,57.0,0.90088025726709
114,20,1,64,57.0,1.40117972418648
115,20,1,58,62.0,1.40107179028291
116,20,1,55,58.0,1.40105060080441
117,20,1,61,51.0,0.500944752739997
118,20,1,59,59.0,0.967468522864692
119,20,1,59,55.0,0.034157107397732
120,20,1,61,55.0,1.06753748799474
121,20,1,60,22.0,0.100811921200147
122,20,1,67,52.0,0.0675225891418449
123,20,1,60,59.0,1.00092074903478
124,20,1,56,56.0,0.0342349125121473
125,20,1,47,57.0,1.40093869387329
126,20,1,44,49.0,0.0674533922538103
127,20,1,44,48.0,0.934354335086027
128,20,1,48,41.0,0.767691144817945
129,20,1,41,47.0,0.400966836149564
130,20,1,42,33.0,0.0676285365325384
131,20,1,45,43.0,0.86775845451848
132,20,1,76,44.0,0.934214948051704
133,20,1,77,64.0,0.10075365013563
134,20,1,81,80.0,1.4175393255191
135,20,1,85,84.0,1.40078175930284
136,20,1,77,83.0,0.867632310907538
137,20,1,78,80.0,0.967688363698471
138,20,1,79,75.0,1.40076156308169
139,20,1,74,79.0,0.96768439067182
140,20,1,78,77.0,1.33426898121979
141,20,1,81,80.0,1.40075759005413
142,20,1,64,78.0,1.0009316748592
143,20,1,68,76.0,0.067648070582436
144,20,1,59,71.0,0.934323213039534
145,20,1,63,68.0,0.834220146094594
146,20,1,70,63.0,0.96749136777089
147,20,1,61,67.0,1.06760138751361
148,20,1,71,69.0,1.4009254504499
149,20,1,61,70.0,1.40076321850938
150,20,1,57,67.0,1.40099564059528
151,20,1,64,59.0,0.800946375059539
152,20,1,59,62.0,1.40098736345681
153,20,1,51,60.0,0.0676272121891088
154,20,1,66,60.0,0.667518549897977
155,20,1,67,65.0,1.40101683007379
156,20,1,52,62.0,0.0675772182648871
157,20,1,62,57.0,0.800931807293637
158,20,1,67,64.0,1.400910882684
159,20,1,67,66.0,1.13417144340383
160,20,1,57,69.0,1.40087909846716
161,20,1,66,58.0,0.100943031095085
162,20,1,67,71.0,0.734178661069564
163,20,1,79,64.0,0.0343322516764601
164,20,1,85,77.0,0.0675537111874291
165,20,1,100,85.0,1.400967829406
166,20,1,99,96.0,1.4009482953561
167,20,1,80,95.0,1.40100457990684
168,20,1,100,93.0,1.40088903103515
169,20,1,78,98.0,1.40091253811261
170,20,1,61,84.0,0.100955281262031
171,20,1,100,69.0,0.0675818534637074
172,20,1,62,96.0,1.4008555913897
173,20,1,33,74.0,0.100929787670793
174,20,1,55,87.0,0.067689125195102
175,20,1,48,56.0,0.101348942032928
176,20,1,71,45.0,1.40090028794475
177,20,1,39,55.0,0.0676480705815266
178,20,1,59,56.0,1.40085459813326
179,20,1,30,62.0,0.100859597525414
180,20,1,47,61.0,1.13436976367484
181,20,1,39,57.0,0.70096150567133
182,20,1,56,38.0,0.101002626502122
183,20,1,40,39.0,0.56769723679281
184,20,1,56,68.0,0.63408122257988
185,20,1,25,35.0,0.067583177805318
186,20,1,26,28.0,0.067561988327725
187,20,1,24,28.0,0.834095326826173
188,20,1,41,20.0,1.40084665207905
189,20,1,43,35.0,0.567601221970108
190,20,1,30,33.0,1.33427460967505
191,20,1,10,26.0,1.40098339042925
